RA,ra_num,ano_base,Fase_num,categoria_risco,score_risco,IAN,INDE_final,IPS,IEG,queda_recente,delta_INDE
RA-774,774,2022,0,ALTO,0.5554130052724078,10.0,7.587,7.5,7.8,0,
RA-746,746,2022,0,ALTO,0.554244288224956,10.0,7.656,5.6,9.1,0,
RA-734,734,2022,0,ALTO,0.5518453427065027,5.0,6.952,5.6,7.2,0,
RA-728,728,2022,0,BAIXO,0.4142091388400702,10.0,8.244,8.1,7.3,0,
RA-856,856,2022,0,BAIXO,0.41371704745166954,10.0,8.398,7.5,9.1,0,
RA-795,795,2022,0,BAIXO,0.4129789103690685,10.0,8.064,7.5,9.7,0,
RA-674,674,2022,0,BAIXO,0.41080843585237253,10.0,7.862,8.1,8.7,0,
RA-843,843,2022,0,BAIXO,0.408945518453427,10.0,8.538,7.5,9.0,0,
RA-684,684,2022,0,BAIXO,0.40827768014059745,10.0,8.26,8.1,7.5,0,
RA-707,707,2022,0,BAIXO,0.40578207381370823,5.0,7.679,6.9,8.1,0,
RA-747,747,2022,0,BAIXO,0.4015905096660808,5.0,7.676,7.5,7.6,0,
RA-677,677,2022,0,BAIXO,0.40122144112478025,10.0,8.358,7.5,9.4,0,
RA-713,713,2022,0,BAIXO,0.39608084358523726,5.0,7.42,7.5,8.7,0,
RA-796,796,2022,0,BAIXO,0.3886994727592267,5.0,7.232,7.5,9.3,0,
RA-791,791,2022,0,BAIXO,0.38506151142355005,5.0,7.507,7.5,8.7,0,
