RA,Fase,Turma,Ano nasc,Idade 22,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,ano_base,INDE 2023,Pedra 2023,Data de Nasc,Idade,Pedra 23,INDE 23,IPP,Mat,Por,Ing,INDE 2024,Pedra 2024,Avaliador5,Avaliador6,Escola,Ativo/ Inativo,Defasagem_final,Avaliador1_id,Avaliador2_id,Avaliador3_id,Avaliador4_id,Avaliador5_id,Avaliador6_id,FaseIdeal_txt,Fase_num,Fase_sufixo,FaseIdeal_num,ra_num,INDE_final,INDE_fonte,PEDRA_final,PEDRA_fonte
RA-1196,FASE 5,5B,,,Masculino,2023,Privada,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,8.2,5.0,,7.5,,,,,,8.045,10.0,,,,2023,7.03025,Ametista,2008-06-13,15,,,7.8125,8.0,6.2,8.3,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,1196,7.03025,INDE 2023,Ametista,Pedra 2023
RA-52,FASE 5,5B,,,Masculino,2018,Privada - Programa de Apadrinhamento,Topázio,Ametista,Ametista,7.861,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,10.0,9.8,2.52,,6.4,,,,,,8.2975,10.0,,,,2023,7.9642,Ametista,2009-08-02,14,,,8.125,7.7,4.8,6.7,,,,,,,1,24,7,23,8,,,Fase 4 (9º ano),5,,4,52,7.9642,INDE 2023,Ametista,Pedra 2023
RA-1197,FASE 5,5B,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,6.7,8.4,5.0,,7.3,,,,,,7.215,5.0,,,,2023,6.946058333,Agata,2007-04-26,16,,,7.03125,5.3,7.2,9.3,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1197,6.946058333,INDE 2023,Agata,Pedra 2023
RA-108,FASE 5,5B,,,Feminino,2019,Concluiu o 3º EM,Ágata,Ágata,Quartzo,5.547,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,5.8,7.3,2.52,,2.9,,,,,,5.59,5.0,,,,2023,4.9308,Quartzo,2005-04-11,17,,,4.375,2.7,3.2,2.8,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,108,4.9308,INDE 2023,Quartzo,Pedra 2023
RA-1198,FASE 5,5B,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.3,9.4,6.26,,6.7,,,,,,7.9625,5.0,,,,2023,7.515233333,Ametista,2007-11-08,16,,,7.5,7.3,3.7,9.0,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1198,7.515233333,INDE 2023,Ametista,Pedra 2023
RA-127,FASE 5,5B,,,Feminino,2022,Pública,,,Topázio,8.283,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.8,7.8,6.26,,6.4,,,,,,8.6725,10.0,,,,2023,7.91935,Ametista,2008-07-18,15,,,8.4375,4.7,6.3,8.2,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,127,7.91935,INDE 2023,Ametista,Pedra 2023
RA-114,FASE 5,5B,,,Masculino,2022,Pública,,,Quartzo,5.894,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,6.0,3.14,,5.6,,,,,,7.255,5.0,,,,2023,5.335,Quartzo,2006-02-09,17,,,7.5,4.0,4.5,8.3,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,114,5.335,INDE 2023,Quartzo,Pedra 2023
RA-146,FASE 5,5C,,,Feminino,2022,Pública,,,Ametista,7.947,,,,4,avaliador-32,,avaliador-5,,avaliador-23,,avaliador-8,,6.2,9.5,5.0,,7.9,,,,,,8.2125,5.0,,,,2023,7.584483333,Ametista,2007-06-06,16,,,8.4375,7.8,5.8,10.0,,,,,,,-1,32,5,23,8,,,Fase 6 (2º EM),5,,6,146,7.584483333,INDE 2023,Ametista,Pedra 2023
RA-1199,FASE 5,5C,,,Masculino,2023,Pública,,,,,,,,4,avaliador-32,,avaliador-5,,avaliador-23,,avaliador-8,,6.7,9.1,5.0,,6.2,,,,,,8.0875,5.0,,,,2023,7.024933333,Ametista,2006-11-01,17,,,6.875,6.8,5.0,6.7,,,,,,,-2,32,5,23,8,,,Fase 7 (3º EM),5,,7,1199,7.024933333,INDE 2023,Ametista,Pedra 2023
RA-70,FASE 5,5C,,,Feminino,2017,Pública,Ágata,Quartzo,Quartzo,5.712,,,,4,avaliador-32,,avaliador-5,,avaliador-23,,avaliador-8,,9.2,9.2,5.0,,4.3,,,,,,7.545,5.0,,,,2023,6.869133333,Agata,2006-08-20,17,,,7.5,3.0,3.5,6.3,,,,,,,-2,32,5,23,8,,,Fase 7 (3º EM),5,,7,70,6.869133333,INDE 2023,Agata,Pedra 2023
RA-107,FASE 5,5C,,,Feminino,2018,Pública,Topázio,Ágata,Ágata,6.258,,,,4,avaliador-32,,avaliador-5,,avaliador-23,,avaliador-8,,0.0,8.5,5.0,,7.0,,,,,,7.5875,10.0,,,,2023,6.845208333,Agata,2007-11-25,15,,,7.34375,6.0,5.2,9.7,,,,,,,0,32,5,23,8,,,Fase 5 (1º EM),5,,5,107,6.845208333,INDE 2023,Agata,Pedra 2023
RA-1200,FASE 5,5C,,,Feminino,2023,Pública,,,,,,,,4,avaliador-32,,avaliador-5,,avaliador-23,,avaliador-8,,0.0,6.4,5.0,,4.0,,,,,,6.8725,10.0,,,,2023,5.711166667,Quartzo,2007-12-21,15,,,7.5,4.3,2.3,5.5,,,,,,,0,32,5,23,8,,,Fase 5 (1º EM),5,,5,1200,5.711166667,INDE 2023,Quartzo,Pedra 2023
RA-151,FASE 5,5C,,,Feminino,2020,Pública,Ametista,Ametista,Ametista,7.563,,,,4,avaliador-32,,avaliador-5,,avaliador-23,,avaliador-8,,0.0,7.8,7.52,,7.9,,,,,,8.1725,5.0,,,,2023,6.892541667,Agata,2006-06-15,17,,,8.59375,6.8,7.0,10.0,,,,,,,-2,32,5,23,8,,,Fase 7 (3º EM),5,,7,151,6.892541667,INDE 2023,Agata,Pedra 2023
RA-85,FASE 5,5C,,,Masculino,2022,Pública,,,Ágata,6.243,,,,4,avaliador-32,,avaliador-5,,avaliador-23,,avaliador-8,,8.8,8.9,6.27,,5.7,,,,,,7.8425,5.0,,,,2023,7.08435,Ametista,2007-02-13,16,,,5.9375,5.8,3.8,7.5,,,,,,,-1,32,5,23,8,,,Fase 6 (2º EM),5,,6,85,7.08435,INDE 2023,Ametista,Pedra 2023
RA-1201,FASE 5,5C,,,Masculino,2023,Pública,,,,,,,,4,avaliador-32,,avaliador-5,,avaliador-23,,avaliador-8,,9.2,9.6,3.77,,7.8,,,,,,8.7575,10.0,,,,2023,8.378008333,Topázio,2008-02-18,15,,,8.59375,8.3,6.5,8.5,,,,,,,0,32,5,23,8,,,Fase 5 (1º EM),5,,5,1201,8.378008333,INDE 2023,Topázio,Pedra 2023
RA-131,FASE 5,5F,,,Feminino,2016,Pública,Topázio,Ametista,Ametista,7.174,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.3,7.8,5.0,,2.2,,,,,,6.8,5.0,,,,2023,5.952358333,Quartzo,2007-02-15,16,,,7.65625,0.0,3.0,3.5,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,131,5.952358333,INDE 2023,Quartzo,Pedra 2023
RA-132,FASE 5,5F,,,Feminino,2019,Privada - Programa de Apadrinhamento,Topázio,Ametista,Topázio,8.355,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.5,8.7,2.52,,6.5,,,,,,7.715,10.0,,,,2023,7.350625,Ametista,2008-03-28,15,,,7.65625,6.3,6.5,6.7,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,132,7.350625,INDE 2023,Ametista,Pedra 2023
RA-133,FASE 5,5F,,,Feminino,2016,Pública,Ametista,Quartzo,Ágata,6.875,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.5,7.9,2.52,,5.3,,,,,,6.505,5.0,,,,2023,6.168416667,Agata,2007-04-27,16,,,7.1875,5.0,4.3,6.7,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,133,6.168416667,INDE 2023,Agata,Pedra 2023
RA-104,FASE 5,5F,,,Masculino,2022,Pública,,,Ágata,6.315,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,7.7,2.52,,2.6,,,,,,5.6275,2.5,,,,2023,4.25,Quartzo,2004-06-08,19,,,5.625,3.7,1.8,2.3,,,,,,,-3,24,7,23,8,,,Fase 8 (Universitários),5,,8,104,4.25,INDE 2023,Quartzo,Pedra 2023
RA-137,FASE 5,5F,,,Feminino,2016,Privada - Programa de Apadrinhamento,Quartzo,Ágata,Ametista,7.056,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.1,6.3,2.52,,6.0,,,,,,6.88,5.0,,,,2023,5.937025,Quartzo,2005-12-29,17,,,6.40625,7.3,4.5,6.2,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,137,5.937025,INDE 2023,Quartzo,Pedra 2023
RA-144,FASE 5,5F,,,Feminino,2017,Privada - Programa de Apadrinhamento,Ágata,Quartzo,Topázio,8.181,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,5.2,2.52,,4.4,,,,,,6.0,10.0,,,,2023,4.990333333,Quartzo,2008-12-23,14,,,6.25,3.3,2.5,7.3,,,,,,,1,24,7,23,8,,,Fase 4 (9º ano),5,,4,144,4.990333333,INDE 2023,Quartzo,Pedra 2023
RA-1202,FASE 5,5F,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.1,7.6,7.52,,3.3,,,,,,6.67,5.0,,,,2023,6.202008333,Agata,2007-02-28,16,,,7.34375,4.5,3.3,2.0,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1202,6.202008333,INDE 2023,Agata,Pedra 2023
RA-90,FASE 5,5L,,,Feminino,2019,Privada - Programa de Apadrinhamento,Topázio,Topázio,Topázio,9.442,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,10.0,9.6,7.52,,7.7,,,,,,8.1725,10.0,,,,2023,8.699408333,Topázio,2009-02-25,14,,,8.59375,6.7,6.8,9.5,,,,,,,1,24,7,23,8,,,Fase 4 (9º ano),5,,4,90,8.699408333,INDE 2023,Topázio,Pedra 2023
RA-167,FASE 5,5L,,,Feminino,2018,Privada - Programa de Apadrinhamento,Ametista,Ametista,Ametista,7.798,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.8,9.9,5.0,,7.9,,,,,,7.8375,5.0,,,,2023,7.806141667,Ametista,2006-10-08,17,,,7.96875,8.3,7.2,8.3,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,167,7.806141667,INDE 2023,Ametista,Pedra 2023
RA-168,FASE 5,5L,,,Feminino,2018,Privada - Programa de Apadrinhamento,Ametista,Ametista,Ágata,6.917,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,9.6,6.89,,4.7,,,,,,6.4225,10.0,,,,2023,6.483083333,Agata,2007-11-15,15,,,6.5625,4.3,3.0,6.7,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,168,6.483083333,INDE 2023,Agata,Pedra 2023
RA-1203,FASE 5,5L,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.2,10.0,2.52,,7.2,,,,,,7.8775,5.0,,,,2023,7.487841667,Ametista,2007-04-10,16,,,7.96875,6.7,5.8,9.2,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1203,7.487841667,INDE 2023,Ametista,Pedra 2023
RA-155,FASE 5,5L,,,Masculino,2022,Pública,,,Ametista,7.051,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.9,8.1,5.0,,4.4,,,,,,6.5875,5.0,,,,2023,6.318991667,Agata,2006-06-18,17,,,7.03125,5.3,2.8,5.2,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,155,6.318991667,INDE 2023,Agata,Pedra 2023
RA-94,FASE 5,5L,,,Feminino,2018,Privada - Programa de Apadrinhamento,Ametista,Topázio,Topázio,8.921,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.5,9.6,2.52,,7.2,,,,,,7.795,5.0,,,,2023,7.289333333,Ametista,2007-01-07,16,,,8.75,7.7,4.8,9.0,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,94,7.289333333,INDE 2023,Ametista,Pedra 2023
RA-81,FASE 5,5L,,,Feminino,2017,Privada - Programa de Apadrinhamento,Ametista,Topázio,Ametista,7.675,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.6,8.8,2.52,,6.3,,,,,,7.2125,10.0,,,,2023,7.45425,Ametista,2008-03-22,15,,,7.8125,8.7,4.7,5.5,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,81,7.45425,INDE 2023,Ametista,Pedra 2023
RA-302,FASE 5,5L,,,Masculino,2022,Pública,,,Ágata,6.334,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,7.3,5.0,,4.3,,,,,,6.255,5.0,,,,2023,5.314333333,Quartzo,2006-02-18,17,,,7.5,4.7,2.3,5.8,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,302,5.314333333,INDE 2023,Quartzo,Pedra 2023
RA-171,FASE 5,5L,,,Masculino,2022,Pública,,,Ágata,6.581,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.5,7.2,5.0,,5.2,,,,,,6.755,5.0,,,,2023,6.293083333,Agata,2006-09-16,17,,,7.1875,4.5,4.8,6.2,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,171,6.293083333,INDE 2023,Agata,Pedra 2023
RA-160,FASE 5,5L,,,Feminino,2021,Privada - Programa de Apadrinhamento,,Ágata,Ágata,6.746,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.8,8.3,2.52,,5.0,,,,,,7.46,5.0,,,,2023,6.598266667,Agata,2007-09-21,16,,,8.125,3.3,3.8,8.0,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,160,6.598266667,INDE 2023,Agata,Pedra 2023
RA-1204,FASE 5,5L,,,Masculino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.5,8.7,5.0,,6.1,,,,,,7.2125,5.0,,,,2023,6.940416667,Agata,2007-04-16,16,,,7.8125,5.0,3.7,9.7,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1204,6.940416667,INDE 2023,Agata,Pedra 2023
RA-1205,FASE 5,5L,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.2,9.2,6.26,,5.0,,,,,,7.085,2.5,,,,2023,6.806466667,Agata,2005-05-13,18,,,7.5,5.2,3.7,6.2,,,,,,,-3,24,7,23,8,,,Fase 8 (Universitários),5,,8,1205,6.806466667,INDE 2023,Agata,Pedra 2023
RA-173,FASE 5,5L,,,Masculino,2019,Privada - Programa de Apadrinhamento,Ametista,Ametista,Ametista,7.816,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.2,8.5,6.26,,8.1,,,,,,7.8775,5.0,,,,2023,7.757466667,Ametista,2005-11-16,17,,,8.125,9.0,6.2,9.2,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,173,7.757466667,INDE 2023,Ametista,Pedra 2023
RA-166,FASE 5,5L,,,Masculino,2020,Privada - Programa de Apadrinhamento,Ametista,Ametista,Topázio,8.253,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.5,8.9,6.26,,8.1,,,,,,7.4625,10.0,,,,2023,8.105583333,Topázio,2008-03-06,15,,,8.4375,7.0,7.2,10.0,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,166,8.105583333,INDE 2023,Topázio,Pedra 2023
RA-175,FASE 5,5L,,,Feminino,2018,Privada - Programa de Apadrinhamento,Ametista,Ametista,Ágata,6.75,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.8,9.2,2.52,,4.8,,,,,,7.085,5.0,,,,2023,6.569516667,Agata,2007-04-03,16,,,7.1875,5.0,5.0,4.5,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,175,6.569516667,INDE 2023,Agata,Pedra 2023
RA-153,FASE 5,5M,,,Feminino,2018,Privada - Programa de Apadrinhamento,Ágata,Ametista,Ametista,7.535,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.2,7.4,2.52,,6.4,,,,,,7.71,10.0,,,,2023,7.289966667,Ametista,2008-08-15,15,,,8.125,6.0,5.3,8.0,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,153,7.289966667,INDE 2023,Ametista,Pedra 2023
RA-1206,FASE 5,5M,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.8,8.3,2.52,,5.6,,,,,,7.7125,5.0,,,,2023,6.724183333,Agata,2006-05-17,17,,,7.8125,4.7,3.7,8.3,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,1206,6.724183333,INDE 2023,Agata,Pedra 2023
RA-157,FASE 5,5M,,,Feminino,2018,Privada - Programa de Apadrinhamento,Ametista,Topázio,Topázio,8.317,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.1,9.9,2.52,,6.8,,,,,,8.63,10.0,,,,2023,7.879008333,Ametista,2010-03-13,13,,,8.59375,6.0,6.8,7.5,,,,,,,2,24,7,23,8,,,Fase 3 (7º e 8º ano),5,,3,157,7.879008333,INDE 2023,Ametista,Pedra 2023
RA-1207,FASE 5,5M,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.8,9.0,5.0,,5.5,,,,,,7.63,10.0,,,,2023,7.58235,Ametista,2008-12-02,15,,,7.8125,5.0,4.0,7.5,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,1207,7.58235,INDE 2023,Ametista,Pedra 2023
RA-1208,FASE 5,5M,,,Masculino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.8,8.8,2.52,,6.2,,,,,,6.2525,10.0,,,,2023,7.0651,Ametista,2008-02-29,15,,,6.875,5.0,4.8,8.8,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,1208,7.0651,INDE 2023,Ametista,Pedra 2023
RA-1209,FASE 5,5M,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.5,9.4,5.0,,7.4,,,,,,7.7125,5.0,,,,2023,7.43375,Ametista,2007-10-23,16,,,7.8125,7.7,5.7,8.8,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1209,7.43375,INDE 2023,Ametista,Pedra 2023
RA-158,FASE 5,5M,,,Feminino,2017,Privada - Programa de Apadrinhamento,Ametista,Ametista,Ametista,7.302,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.1,9.0,2.52,,6.0,,,,,,7.545,10.0,,,,2023,7.297425,Ametista,2009-05-01,14,,,8.28125,6.0,5.7,6.3,,,,,,,1,24,7,23,8,,,Fase 4 (9º ano),5,,4,158,7.297425,INDE 2023,Ametista,Pedra 2023
RA-161,FASE 5,5M,,,Feminino,2018,Privada - Programa de Apadrinhamento,Ametista,Ametista,Ametista,7.957,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,7.3,2.52,,5.8,,,,,,7.795,10.0,,,,2023,6.250166667,Agata,2009-05-29,14,,,8.125,7.0,4.5,6.0,,,,,,,1,24,7,23,8,,,Fase 4 (9º ano),5,,4,161,6.250166667,INDE 2023,Agata,Pedra 2023
RA-164,FASE 5,5M,,,Masculino,2018,Privada,Ágata,Ágata,Ágata,6.776,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,8.2,2.52,,5.8,,,,,,6.9625,5.0,,,,2023,5.638666667,Quartzo,2006-12-29,16,,,6.875,6.0,4.2,7.3,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,164,5.638666667,INDE 2023,Quartzo,Pedra 2023
RA-1210,FASE 5,5M,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.6,9.4,5.0,,4.7,,,,,,8.09,5.0,,,,2023,7.171083333,Ametista,2007-10-20,16,,,7.8125,5.0,2.0,7.0,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1210,7.171083333,INDE 2023,Ametista,Pedra 2023
RA-165,FASE 5,5M,,,Feminino,2017,Privada - Programa de Apadrinhamento,Ametista,Ametista,Topázio,8.063,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,6.7,9.2,2.52,,7.3,,,,,,7.795,10.0,,,,2023,7.583433333,Ametista,2008-02-08,15,,,8.125,7.3,6.2,8.3,,,,,,,0,24,7,23,8,,,Fase 5 (1º EM),5,,5,165,7.583433333,INDE 2023,Ametista,Pedra 2023
RA-1211,FASE 5,5M,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.1,9.1,5.0,,6.2,,,,,,7.7125,5.0,,,,2023,7.09205,Ametista,2007-07-24,16,,,7.8125,6.3,4.5,7.8,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1211,7.09205,INDE 2023,Ametista,Pedra 2023
RA-1212,FASE 5,5M,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,8.3,8.9,5.0,,4.2,,,,,,7.715,5.0,,,,2023,6.755358333,Agata,2007-07-20,16,,,7.65625,0.0,3.5,9.0,,,,,,,-1,24,7,23,8,,,Fase 6 (2º EM),5,,6,1212,6.755358333,INDE 2023,Agata,Pedra 2023
RA-1213,FASE 5,5M,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,8.4,2.52,,6.0,,,,,,7.715,5.0,,,,2023,5.95625,Quartzo,2006-03-07,17,,,7.8125,6.7,4.8,6.5,,,,,,,-2,24,7,23,8,,,Fase 7 (3º EM),5,,7,1213,5.95625,INDE 2023,Quartzo,Pedra 2023
RA-40,FASE 6,6A,,,Feminino,2016,Privada - Programa de Apadrinhamento,Ametista,Ágata,Ametista,7.203,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.5,8.2,7.52,,5.9,,,,,,7.755,5.0,,,,2023,7.169975,Ametista,2006-08-28,17,,,7.96875,6.2,5.7,5.8,,,,,,,-1,24,7,23,8,,,Fase 7 (3º EM),6,,7,40,7.169975,INDE 2023,Ametista,Pedra 2023
RA-1214,FASE 6,6A,,,Masculino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.6,9.8,6.89,,7.4,,,,,,7.6725,10.0,,,,2023,8.378666667,Topázio,2007-02-28,16,,,7.5,8.0,5.0,9.3,,,,,,,0,24,7,23,8,,,Fase 6 (2º EM),6,,6,1214,8.378666667,INDE 2023,Topázio,Pedra 2023
RA-71,FASE 6,6A,,,Feminino,2019,Pública,Ágata,Ametista,Quartzo,4.332,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,6.7,9.8,6.26,,6.6,,,,,,7.7125,5.0,,,,2023,7.3651,Ametista,2005-11-04,18,,,7.5,7.3,5.5,7.0,,,,,,,-2,24,7,23,8,,,Fase 8 (Universitários),6,,8,71,7.3651,INDE 2023,Ametista,Pedra 2023
RA-53,FASE 6,6A,,,Masculino,2022,Concluiu o 3º EM,,,Ágata,6.725,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.2,9.1,5.63,,7.7,,,,,,7.5875,5.0,,,,2023,7.600633333,Ametista,2005-04-13,18,,,7.5,7.3,6.5,9.2,,,,,,,-2,24,7,23,8,,,Fase 8 (Universitários),6,,8,53,7.600633333,INDE 2023,Ametista,Pedra 2023
RA-43,FASE 6,6A,,,Feminino,2019,Pública,Ametista,Ágata,Quartzo,5.486,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.9,6.7,5.63,,5.0,,,,,,7.5875,5.0,,,,2023,6.4622,Agata,2006-06-27,17,,,7.5,4.0,5.0,6.0,,,,,,,-1,24,7,23,8,,,Fase 7 (3º EM),6,,7,43,6.4622,INDE 2023,Agata,Pedra 2023
RA-55,FASE 6,6A,,,Feminino,2017,Pública,Ametista,Ametista,Ágata,6.576,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.9,8.1,3.14,,7.1,,,,,,7.545,5.0,,,,2023,6.898033333,Agata,2006-07-10,17,,,7.5,8.7,6.5,6.0,,,,,,,-1,24,7,23,8,,,Fase 7 (3º EM),6,,7,55,6.898033333,INDE 2023,Agata,Pedra 2023
RA-44,FASE 6,6A,,,Feminino,2021,Pública,,Ametista,Quartzo,5.542,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,0.0,8.5,5.01,,6.9,,,,,,7.17,5.0,,,,2023,6.258333333,Agata,2005-11-09,18,,,7.5,7.3,5.8,7.5,,,,,,,-2,24,7,23,8,,,Fase 8 (Universitários),6,,8,44,6.258333333,INDE 2023,Agata,Pedra 2023
RA-1215,FASE 6,6A,,,Feminino,2023,Pública,,,,,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.1,5.6,5.0,,4.1,,,,,,7.1725,10.0,,,,2023,6.339466667,Agata,2007-06-13,16,,,7.5,5.0,2.7,4.7,,,,,,,0,24,7,23,8,,,Fase 6 (2º EM),6,,6,1215,6.339466667,INDE 2023,Agata,Pedra 2023
RA-45,FASE 6,6A,,,Feminino,2019,Privada - Programa de Apadrinhamento,Ametista,Topázio,Ametista,7.591,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,7.1,9.6,6.26,,7.9,,,,,,8.1725,10.0,,,,2023,8.303591667,Topázio,2007-04-04,16,,,8.28125,7.8,6.3,9.7,,,,,,,0,24,7,23,8,,,Fase 6 (2º EM),6,,6,45,8.303591667,INDE 2023,Topázio,Pedra 2023
RA-56,FASE 6,6A,,,Feminino,2019,Privada - Programa de Apadrinhamento,Topázio,Topázio,Topázio,8.404,,,,4,avaliador-24,,avaliador-7,,avaliador-23,,avaliador-8,,9.6,9.5,5.0,,7.8,,,,,,7.8,10.0,,,,2023,8.284333333,Topázio,2007-05-16,16,,,8.125,7.8,5.5,10.0,,,,,,,0,24,7,23,8,,,Fase 6 (2º EM),6,,6,56,8.284333333,INDE 2023,Topázio,Pedra 2023
