RA,ra_num,ano_base,Fase_num,INDE_final,INDE_prev,delta_INDE,queda,IPS,IPS_prev
RA-133,133,2023,5,6.168416667,6.875,-0.7065833330000002,1,2.52,7.5
RA-134,134,2022,4,6.607,,,0,7.5,
RA-135,135,2022,4,7.692,,,0,5.6,
RA-136,136,2022,4,6.478,,,0,7.5,
RA-137,137,2022,4,7.056,,,0,5.0,
RA-137,137,2023,5,5.937025,7.056,-1.1189749999999998,1,2.52,5.0
RA-137,137,2024,5,6.576761183366667,5.937025,0.6397361833666668,0,5.005,2.52
RA-138,138,2022,4,6.738,,,0,5.6,
RA-138,138,2023,4,6.784075,6.738,0.0460749999999992,0,6.26,5.6
RA-138,138,2024,5,7.3860274169,6.784075,0.6019524169000006,0,7.51,6.26
RA-139,139,2022,4,3.738,,,0,5.0,
RA-140,140,2022,4,7.407,,,0,6.9,
RA-141,141,2022,4,7.118,,,0,5.6,
RA-141,141,2023,4,6.719791667,7.118,-0.39820833300000036,1,5.63,5.6
RA-142,142,2022,4,7.457,,,0,5.6,
RA-143,143,2022,4,8.638,,,0,5.6,
RA-143,143,2023,5,7.794358333,8.638,-0.843641667,1,2.52,5.6
RA-143,143,2024,7,7.449366666666667,7.794358333,-0.3449916663333328,1,6.885,2.52
RA-144,144,2022,4,8.181,,,0,5.0,
RA-144,144,2023,5,4.990333333,8.181,-3.1906666669999995,1,2.52,5.0
RA-145,145,2022,4,5.846,,,0,8.1,
RA-145,145,2023,4,,5.846,,0,,8.1
RA-146,146,2022,4,7.947,,,0,7.5,
RA-146,146,2023,5,7.584483333,7.947,-0.3625166670000004,1,5.0,7.5
RA-146,146,2024,5,8.134554885333333,7.584483333,0.5500715523333337,0,5.635,5.0
RA-147,147,2022,4,7.541,,,0,7.5,
RA-147,147,2023,4,5.5425,7.541,-1.9985,1,5.63,7.5
RA-147,147,2024,5,7.400477922133334,5.5425,1.8579779221333332,0,7.51,5.63
RA-148,148,2022,4,7.894,,,0,10.0,
RA-149,149,2022,4,6.323,,,0,7.5,
RA-149,149,2023,4,5.622266667,6.323,-0.7007333330000005,1,2.52,7.5
RA-149,149,2024,5,5.7316173854,5.622266667,0.10935071839999999,0,6.26,2.52
RA-150,150,2022,4,6.962,,,0,6.9,
RA-151,151,2022,4,7.563,,,0,6.9,
RA-151,151,2023,5,6.892541667,7.563,-0.670458333,1,7.52,6.9
RA-152,152,2022,4,6.712,,,0,7.5,
RA-152,152,2023,4,6.30695,6.712,-0.40505000000000013,1,2.52,7.5
RA-152,152,2024,5,6.5837938596,6.30695,0.27684385960000046,0,5.63,2.52
RA-153,153,2022,4,7.535,,,0,5.0,
RA-153,153,2023,5,7.289966667,7.535,-0.2450333330000003,1,2.52,5.0
RA-153,153,2024,7,4.78185,7.289966667,-2.5081166669999995,1,6.5675,2.52
RA-154,154,2022,4,6.073,,,0,6.3,
RA-155,155,2022,4,7.051,,,0,7.5,
RA-155,155,2023,5,6.318991667,7.051,-0.7320083330000005,1,5.0,7.5
RA-155,155,2024,8,,6.318991667,,0,,5.0
RA-156,156,2022,4,7.357,,,0,9.4,
RA-157,157,2022,4,8.317,,,0,6.3,
RA-157,157,2023,5,7.879008333,8.317,-0.43799166700000036,1,2.52,6.3
RA-157,157,2024,5,8.950566666733334,7.879008333,1.0715583337333339,0,6.26,2.52
RA-158,158,2022,4,7.302,,,0,5.6,
RA-158,158,2023,5,7.297425,7.302,-0.004574999999999996,1,2.52,5.6
RA-158,158,2024,5,6.855159259266667,7.297425,-0.44226574073333236,1,6.26,2.52
RA-159,159,2022,4,6.49,,,0,5.6,
RA-159,159,2023,4,6.805033333,6.49,0.3150333329999997,0,2.52,5.6
RA-160,160,2022,4,6.746,,,0,5.6,
RA-160,160,2023,5,6.598266667,6.746,-0.14773333300000058,1,2.52,5.6
RA-160,160,2024,5,6.855108333266668,6.598266667,0.25684166626666816,0,6.26,2.52
RA-161,161,2022,4,7.957,,,0,5.6,
