RA,ra_num,ano_base,Fase_num,Ativo/ Inativo,INDE_final,IPS,IEG,status
RA-1326,1326,2024,,Cursando,7.6397833333000005,7.51,9.2916666665,CURSANDO
RA-1327,1327,2024,,Cursando,8.264116666700001,7.51,9.3333333335,CURSANDO
RA-1328,1328,2024,,Cursando,8.0588666667,7.51,8.2083333335,CURSANDO
RA-1329,1329,2024,,Cursando,7.98945,7.51,10.0,CURSANDO
RA-1330,1330,2024,,Cursando,8.944616666700002,7.51,9.3333333335,CURSANDO
RA-1331,1331,2024,,Cursando,7.8522833333,7.51,7.291666666499999,CURSANDO
RA-944,944,2024,,Cursando,7.8262,7.51,7.25,CURSANDO
RA-1332,1332,2024,,Cursando,8.1040529412,7.51,9.411764706,CURSANDO
RA-754,754,2024,,Cursando,5.6127,5.625,6.25,CURSANDO
RA-1333,1333,2024,,Cursando,8.213199999999999,6.255,10.0,CURSANDO
RA-934,934,2024,,Cursando,8.338700000000001,7.51,9.75,CURSANDO
RA-1334,1334,2024,,Cursando,8.350200000000001,5.625,10.0,CURSANDO
RA-941,941,2024,,Cursando,7.746700000000001,5.01,9.25,CURSANDO
RA-756,756,2024,,Cursando,7.361700000000001,7.51,8.75,CURSANDO
RA-1335,1335,2024,,Cursando,8.3217,7.51,9.75,CURSANDO
RA-773,773,2024,,Cursando,6.566200000000001,2.51,8.75,CURSANDO
RA-938,938,2024,,Cursando,8.0056026915,7.51,9.544513457499999,CURSANDO
RA-1336,1336,2024,,Cursando,7.141365631500001,2.51,6.2008281575,CURSANDO
RA-1337,1337,2024,,Cursando,6.015144444400001,7.51,4.722222222,CURSANDO
RA-1338,1338,2024,,Cursando,6.1368428571,7.51,8.6607142855,CURSANDO
RA-1339,1339,2024,,Cursando,7.3547,6.885,10.0,CURSANDO
RA-1340,1340,2024,,Cursando,8.3422714286,7.51,8.392857143,CURSANDO
RA-1341,1341,2024,,Cursando,7.862906349200001,7.51,9.246031746,CURSANDO
RA-947,947,2024,,Cursando,6.053509523800001,7.51,7.619047619,CURSANDO
RA-1342,1342,2024,,Cursando,7.8185809524000005,7.51,9.761904762,CURSANDO
RA-1343,1343,2024,,Cursando,8.8262,7.51,10.0,CURSANDO
RA-1344,1344,2024,,Cursando,9.3612,7.51,10.0,CURSANDO
RA-945,945,2024,,Cursando,7.4195809524000005,2.51,9.511904762,CURSANDO
RA-946,946,2024,,Cursando,6.677723809500001,2.51,8.7976190475,CURSANDO
RA-1345,1345,2024,,Cursando,7.2340128655000004,7.51,9.4590643275,CURSANDO
RA-771,771,2024,,Cursando,6.066009523800001,3.135,6.619047619,CURSANDO
RA-1346,1346,2024,,Cursando,7.3701047619,7.51,8.0595238095,CURSANDO
RA-1347,1347,2024,,Cursando,6.153842857100001,2.51,8.7857142855,CURSANDO
RA-949,949,2024,,Cursando,7.1323428571,7.51,8.7857142855,CURSANDO
RA-950,950,2024,,Cursando,7.693461904800001,7.51,9.023809524,CURSANDO
RA-951,951,2024,,Cursando,6.4483428571,2.51,9.0357142855,CURSANDO
RA-1002,1002,2024,,Cursando,7.967866666700001,7.51,7.833333333500001,CURSANDO
RA-774,774,2024,,Cursando,5.685771428600001,2.51,6.3928571430000005,CURSANDO
RA-749,749,2024,,Cursando,8.3373184211,8.13,9.7368421055,CURSANDO
RA-929,929,2024,,Cursando,7.7244368421,7.51,9.4736842105,CURSANDO
RA-930,930,2024,,Cursando,7.9298184211,7.51,9.7368421055,CURSANDO
RA-787,787,2024,,Cursando,7.73495,7.51,9.75,CURSANDO
RA-1348,1348,2024,,Cursando,7.9604662539,7.51,8.5913312695,CURSANDO
RA-935,935,2024,,Cursando,8.3422,7.51,10.0,CURSANDO
RA-1349,1349,2024,,Cursando,7.855727777800001,7.51,8.388888889,CURSANDO
RA-937,937,2024,,Cursando,8.3792,9.38,10.0,CURSANDO
RA-1350,1350,2024,,Cursando,8.335450000000002,8.755,10.0,CURSANDO
RA-1351,1351,2024,,Cursando,8.1861038462,8.13,9.230769231,CURSANDO
RA-959,959,2024,,Cursando,8.379818421100001,7.51,9.7368421055,CURSANDO
RA-1352,1352,2024,,Cursando,8.289950000000001,8.13,9.5,CURSANDO
RA-1353,1353,2024,,Cursando,6.454700000000001,7.51,9.5,CURSANDO
RA-1354,1354,2024,,Cursando,7.353427272700001,7.51,8.3636363635,CURSANDO
RA-979,979,2024,,Cursando,8.0352454545,7.51,9.5227272725,CURSANDO
RA-1355,1355,2024,,Cursando,7.202245454500001,7.51,6.5227272725,CURSANDO
RA-971,971,2024,,Cursando,6.8916181818,7.51,7.909090909,CURSANDO
RA-972,972,2024,,Cursando,7.537472727300001,7.51,8.3863636365,CURSANDO
RA-965,965,2024,,Cursando,6.1376545455,7.51,6.4772727275,CURSANDO
RA-973,973,2024,,Cursando,6.9318363636,7.51,9.318181818,CURSANDO
RA-1356,1356,2024,,Cursando,7.8695888889,7.51,9.4444444445,CURSANDO
RA-966,966,2024,,Cursando,7.9943363636,7.51,8.568181818,CURSANDO
RA-1357,1357,2024,,Cursando,7.1807,7.51,7.5,CURSANDO
RA-969,969,2024,,Cursando,7.453427272700001,7.51,7.8636363634999995,CURSANDO
RA-1358,1358,2024,,Cursando,6.552990476200001,5.01,7.380952381,CURSANDO
RA-1359,1359,2024,,Cursando,7.2102,5.635,9.0,CURSANDO
RA-1360,1360,2024,,Cursando,6.8480623189,7.51,7.0018115945,CURSANDO
RA-1361,1361,2024,,Cursando,8.738700000000001,5.635,9.375,CURSANDO
RA-975,975,2024,,Cursando,7.1463666667000005,5.01,7.708333333500001,CURSANDO
RA-1362,1362,2024,,Cursando,7.709200000000001,5.635,6.875,CURSANDO
