RA,ra_num,ano_base,Fase_num,IAN,IPP
RA-576,576,2023,1,5.0,9.21875
RA-1038,1038,2023,1,5.0,8.90625
RA-1039,1039,2023,1,5.0,8.125
RA-1040,1040,2023,1,5.0,7.8125
RA-1041,1041,2023,1,5.0,7.8125
RA-733,733,2023,1,10.0,8.333333333
RA-837,837,2023,1,10.0,7.916666667
RA-519,519,2023,1,5.0,7.708333333
RA-521,521,2023,1,5.0,7.083333333
RA-1042,1042,2023,1,5.0,7.708333333
RA-713,713,2023,1,5.0,6.875
RA-736,736,2023,1,5.0,7.708333333
RA-1043,1043,2023,1,5.0,7.708333333
RA-716,716,2023,1,5.0,6.875
RA-1044,1044,2023,1,5.0,7.5
RA-745,745,2023,1,5.0,8.125
RA-717,717,2023,1,5.0,8.125
RA-718,718,2023,1,10.0,7.916666667
RA-721,721,2023,1,10.0,8.125
RA-746,746,2023,1,10.0,6.875
RA-1045,1045,2023,1,5.0,7.708333333
RA-483,483,2023,1,5.0,7.916666667
RA-1046,1046,2023,1,10.0,8.541666667
RA-1047,1047,2023,1,10.0,8.125
RA-570,570,2023,1,5.0,8.125
RA-1048,1048,2023,1,5.0,8.541666667
RA-1049,1049,2023,1,5.0,8.125
RA-1050,1050,2023,1,5.0,8.125
RA-1051,1051,2023,1,10.0,8.75
RA-707,707,2023,1,5.0,7.916666667
RA-1052,1052,2023,1,10.0,7.916666667
RA-580,580,2023,1,5.0,8.75
RA-581,581,2023,1,5.0,6.458333333
RA-735,735,2023,1,5.0,8.333333333
RA-710,710,2023,1,5.0,7.083333333
RA-712,712,2023,1,5.0,7.5
RA-549,549,2023,1,5.0,6.875
RA-679,679,2023,1,5.0,6.875
RA-571,571,2023,1,5.0,7.291666667
RA-714,714,2023,1,5.0,7.5
RA-737,737,2023,1,10.0,7.291666667
RA-577,577,2023,1,5.0,6.875
RA-1053,1053,2023,1,10.0,8.958333333
RA-731,731,2023,1,5.0,7.5
RA-552,552,2023,1,5.0,6.666666667
RA-1054,1054,2023,1,5.0,7.5
RA-1055,1055,2023,1,5.0,7.291666667
RA-597,597,2023,1,5.0,9.0625
RA-624,624,2023,1,5.0,8.90625
RA-776,776,2023,1,5.0,7.8125
RA-600,600,2023,1,5.0,8.28125
RA-1056,1056,2023,1,10.0,7.96875
RA-791,791,2023,1,5.0,7.8125
RA-601,601,2023,1,10.0,9.0625
RA-762,762,2023,1,5.0,7.8125
RA-778,778,2023,1,5.0,8.90625
RA-628,628,2023,1,5.0,8.28125
RA-606,606,2023,1,5.0,7.65625
RA-766,766,2023,1,5.0,9.21875
RA-607,607,2023,1,5.0,7.96875
RA-608,608,2023,1,5.0,7.96875
RA-788,788,2023,1,10.0,7.65625
RA-784,784,2023,1,5.0,8.125
RA-785,785,2023,1,5.0,7.916666667
RA-587,587,2023,1,5.0,6.458333333
RA-790,790,2023,1,5.0,7.083333333
RA-663,663,2023,1,5.0,6.666666667
RA-664,664,2023,1,5.0,7.916666667
RA-761,761,2023,1,5.0,8.333333333
RA-1057,1057,2023,1,10.0,8.125
RA-629,629,2023,1,5.0,7.916666667
RA-832,832,2023,1,5.0,7.708333333
RA-594,594,2023,1,5.0,6.875
RA-617,617,2023,1,5.0,7.708333333
RA-767,767,2023,1,5.0,7.291666667
RA-1058,1058,2023,1,10.0,7.083333333
RA-747,747,2023,1,5.0,6.041666667
RA-827,827,2023,1,5.0,8.28125
RA-1059,1059,2023,1,5.0,7.96875
RA-612,612,2023,1,5.0,9.0625
RA-1060,1060,2023,1,5.0,7.96875
RA-665,665,2023,1,5.0,8.28125
RA-829,829,2023,1,10.0,9.21875
RA-1061,1061,2023,1,5.0,8.75
RA-1062,1062,2023,1,10.0,8.59375
RA-615,615,2023,1,5.0,8.28125
RA-833,833,2023,1,5.0,8.4375
RA-630,630,2023,1,5.0,8.28125
RA-752,752,2023,1,5.0,7.65625
RA-777,777,2023,1,10.0,8.28125
RA-1063,1063,2023,1,5.0,6.40625
RA-764,764,2023,1,10.0,8.28125
RA-1064,1064,2023,1,5.0,9.375
RA-1065,1065,2023,1,5.0,8.4375
RA-772,772,2023,1,5.0,6.875
RA-781,781,2023,1,5.0,8.4375
RA-1066,1066,2023,1,5.0,8.4375
RA-1067,1067,2023,1,5.0,8.28125
RA-834,834,2023,1,5.0,9.6875
RA-722,722,2023,1,5.0,8.125
RA-1068,1068,2023,1,5.0,9.166666667
RA-796,796,2023,1,5.0,7.083333333
RA-1069,1069,2023,1,5.0,8.125
RA-797,797,2023,1,5.0,6.041666667
RA-647,647,2023,1,5.0,7.708333333
RA-814,814,2023,1,5.0,8.333333333
RA-652,652,2023,1,5.0,8.125
RA-816,816,2023,1,5.0,9.583333333
RA-640,640,2023,1,5.0,7.291666667
RA-810,810,2023,1,10.0,5.833333333
RA-643,643,2023,1,5.0,6.041666667
RA-819,819,2023,1,10.0,8.541666667
RA-1070,1070,2023,1,5.0,7.708333333
RA-813,813,2023,1,10.0,8.125
RA-636,636,2023,1,5.0,8.333333333
RA-798,798,2023,1,5.0,6.458333333
RA-799,799,2023,1,5.0,8.333333333
RA-815,815,2023,1,5.0,6.875
RA-637,637,2023,1,5.0,8.333333333
RA-638,638,2023,1,5.0,8.333333333
RA-801,801,2023,1,10.0,6.875
RA-802,802,2023,1,5.0,8.333333333
RA-1071,1071,2023,1,5.0,5.625
RA-817,817,2023,1,10.0,8.125
RA-818,818,2023,1,10.0,8.125
RA-804,804,2023,1,5.0,5.833333333
RA-645,645,2023,1,5.0,8.125
RA-479,479,2023,2,10.0,9.791666667
RA-493,493,2023,2,10.0,8.541666667
RA-1072,1072,2023,2,10.0,8.125
RA-536,536,2023,2,10.0,8.333333333
RA-1073,1073,2023,2,5.0,8.333333333
RA-494,494,2023,2,5.0,7.708333333
RA-496,496,2023,2,5.0,7.916666667
RA-497,497,2023,2,5.0,6.25
RA-1074,1074,2023,2,5.0,7.083333333
RA-486,486,2023,2,10.0,7.5
RA-1075,1075,2023,2,5.0,7.708333333
RA-578,578,2023,2,10.0,9.791666667
RA-513,513,2023,2,10.0,8.541666667
RA-487,487,2023,2,10.0,9.166666667
RA-1076,1076,2023,2,5.0,8.333333333
RA-490,490,2023,2,10.0,8.541666667
RA-491,491,2023,2,10.0,7.708333333
RA-1077,1077,2023,2,10.0,8.75
RA-484,484,2023,2,5.0,5.416666667
RA-508,508,2023,2,10.0,8.333333333
RA-495,495,2023,2,5.0,8.541666667
RA-1078,1078,2023,2,5.0,8.958333333
RA-340,340,2023,2,5.0,9.166666667
RA-1079,1079,2023,2,5.0,7.083333333
RA-1080,1080,2023,2,5.0,8.541666667
RA-1081,1081,2023,2,5.0,8.958333333
RA-1082,1082,2023,2,5.0,8.75
RA-1083,1083,2023,2,10.0,8.75
RA-531,531,2023,2,10.0,8.75
RA-1084,1084,2023,2,10.0,8.75
RA-516,516,2023,2,10.0,8.75
RA-348,348,2023,2,5.0,8.541666667
RA-1085,1085,2023,2,5.0,8.958333333
RA-1086,1086,2023,2,5.0,8.75
RA-1087,1087,2023,2,5.0,8.75
RA-509,509,2023,2,5.0,8.958333333
RA-499,499,2023,2,10.0,8.75
RA-500,500,2023,2,10.0,8.958333333
RA-1088,1088,2023,2,5.0,8.75
RA-1089,1089,2023,2,10.0,8.75
RA-1090,1090,2023,2,5.0,8.958333333
RA-503,503,2023,2,10.0,8.75
RA-1091,1091,2023,2,5.0,8.958333333
RA-1092,1092,2023,2,5.0,8.75
RA-1093,1093,2023,2,10.0,8.958333333
RA-1094,1094,2023,2,10.0,8.75
RA-1095,1095,2023,2,5.0,8.75
RA-324,324,2023,2,10.0,8.125
RA-350,350,2023,2,5.0,8.958333333
RA-517,517,2023,2,5.0,6.875
RA-325,325,2023,2,10.0,8.125
RA-518,518,2023,2,10.0,8.125
RA-530,530,2023,2,10.0,7.708333333
RA-524,524,2023,2,5.0,8.333333333
RA-1096,1096,2023,2,10.0,8.958333333
RA-526,526,2023,2,5.0,8.75
RA-528,528,2023,2,5.0,8.75
RA-534,534,2023,2,5.0,8.125
RA-1097,1097,2023,2,5.0,8.125
RA-1098,1098,2023,2,5.0,8.125
RA-506,506,2023,2,5.0,8.958333333
RA-1099,1099,2023,2,5.0,8.333333333
RA-1100,1100,2023,2,10.0,8.541666667
RA-1101,1101,2023,2,10.0,8.333333333
RA-1102,1102,2023,2,10.0,7.708333333
RA-363,363,2023,2,5.0,8.541666667
RA-1103,1103,2023,2,10.0,8.333333333
RA-539,539,2023,2,5.0,9.166666667
RA-540,540,2023,2,10.0,8.958333333
RA-574,574,2023,2,10.0,7.916666667
RA-369,369,2023,2,5.0,8.541666667
RA-375,375,2023,2,5.0,8.541666667
RA-376,376,2023,2,5.0,7.916666667
RA-535,535,2023,2,10.0,8.125
RA-547,547,2023,2,5.0,8.75
RA-548,548,2023,2,5.0,8.333333333
RA-538,538,2023,2,5.0,7.916666667
RA-365,365,2023,2,10.0,8.958333333
RA-559,559,2023,2,5.0,8.958333333
RA-1104,1104,2023,2,5.0,8.541666667
RA-563,563,2023,2,10.0,8.75
RA-573,573,2023,2,5.0,8.541666667
RA-551,551,2023,2,5.0,8.541666667
