ano_base,Fase_num,IDA_faixa,IEG_faixa,IPS_faixa,IPP_faixa,n,inde_medio
2023,1,Q2,Q4_alto,Q4_alto,Q4_alto,0,
2023,1,Q3,Q1_baixo,Q1_baixo,Q1_baixo,0,
2023,1,Q3,Q1_baixo,Q1_baixo,Q2,1,6.331533333
2023,1,Q3,Q1_baixo,Q1_baixo,Q3,0,
2023,1,Q3,Q1_baixo,Q1_baixo,Q4_alto,0,
2023,1,Q3,Q1_baixo,Q2,Q1_baixo,0,
2023,1,Q3,Q1_baixo,Q2,Q2,0,
2023,1,Q3,Q1_baixo,Q2,Q3,0,
2023,1,Q3,Q1_baixo,Q2,Q4_alto,0,
2023,1,Q3,Q1_baixo,Q3,Q1_baixo,0,
2023,1,Q3,Q1_baixo,Q3,Q2,0,
2023,1,Q3,Q1_baixo,Q3,Q3,0,
2023,1,Q3,Q1_baixo,Q3,Q4_alto,0,
2023,1,Q3,Q1_baixo,Q4_alto,Q1_baixo,2,6.9213166665
2023,1,Q3,Q1_baixo,Q4_alto,Q2,0,
2023,1,Q3,Q1_baixo,Q4_alto,Q3,1,7.333075
2023,1,Q3,Q1_baixo,Q4_alto,Q4_alto,0,
2023,1,Q3,Q2,Q1_baixo,Q1_baixo,2,6.868266667
2023,1,Q3,Q2,Q1_baixo,Q2,2,6.4264333335
2023,1,Q3,Q2,Q1_baixo,Q3,1,7.848366667
2023,1,Q3,Q2,Q1_baixo,Q4_alto,0,
2023,1,Q3,Q2,Q2,Q1_baixo,1,7.2352
2023,1,Q3,Q2,Q2,Q2,0,
2023,1,Q3,Q2,Q2,Q3,1,7.613033333
2023,1,Q3,Q2,Q2,Q4_alto,0,
2023,1,Q3,Q2,Q3,Q1_baixo,0,
2023,1,Q3,Q2,Q3,Q2,0,
2023,1,Q3,Q2,Q3,Q3,0,
2023,1,Q3,Q2,Q3,Q4_alto,0,
2023,1,Q3,Q2,Q4_alto,Q1_baixo,4,7.31315
2023,1,Q3,Q2,Q4_alto,Q2,3,7.604491666333334
2023,1,Q3,Q2,Q4_alto,Q3,2,7.620845833000001
2023,1,Q3,Q2,Q4_alto,Q4_alto,1,7.655575
2023,1,Q3,Q3,Q1_baixo,Q1_baixo,0,
2023,1,Q3,Q3,Q1_baixo,Q2,0,
2023,1,Q3,Q3,Q1_baixo,Q3,1,7.668366667
2023,1,Q3,Q3,Q1_baixo,Q4_alto,1,7.81295
2023,1,Q3,Q3,Q2,Q1_baixo,0,
2023,1,Q3,Q3,Q2,Q2,3,7.447619444333333
2023,1,Q3,Q3,Q2,Q3,1,7.764366667
2023,1,Q3,Q3,Q2,Q4_alto,0,
2023,1,Q3,Q3,Q3,Q1_baixo,0,
2023,1,Q3,Q3,Q3,Q2,0,
2023,1,Q3,Q3,Q3,Q3,1,7.871033333
2023,1,Q3,Q3,Q3,Q4_alto,0,
2023,1,Q3,Q3,Q4_alto,Q1_baixo,0,
2023,1,Q3,Q3,Q4_alto,Q2,4,7.60285833325
2023,1,Q3,Q3,Q4_alto,Q3,4,8.0679708335
2023,1,Q3,Q3,Q4_alto,Q4_alto,0,
2023,1,Q3,Q4_alto,Q1_baixo,Q1_baixo,2,7.4053666665
2023,1,Q3,Q4_alto,Q1_baixo,Q2,1,7.806091667
2023,1,Q3,Q4_alto,Q1_baixo,Q3,2,7.7897
2023,1,Q3,Q4_alto,Q1_baixo,Q4_alto,0,
2023,1,Q3,Q4_alto,Q2,Q1_baixo,0,
2023,1,Q3,Q4_alto,Q2,Q2,0,
2023,1,Q3,Q4_alto,Q2,Q3,0,
2023,1,Q3,Q4_alto,Q2,Q4_alto,0,
2023,1,Q3,Q4_alto,Q3,Q1_baixo,0,
2023,1,Q3,Q4_alto,Q3,Q2,0,
2023,1,Q3,Q4_alto,Q3,Q3,0,
2023,1,Q3,Q4_alto,Q3,Q4_alto,0,
2023,1,Q3,Q4_alto,Q4_alto,Q1_baixo,1,7.278991667
2023,1,Q3,Q4_alto,Q4_alto,Q2,1,8.0177
2023,1,Q3,Q4_alto,Q4_alto,Q3,0,
2023,1,Q3,Q4_alto,Q4_alto,Q4_alto,2,8.331949999999999
2023,1,Q4_alto,Q1_baixo,Q1_baixo,Q1_baixo,0,
2023,1,Q4_alto,Q1_baixo,Q1_baixo,Q2,0,
2023,1,Q4_alto,Q1_baixo,Q1_baixo,Q3,0,
2023,1,Q4_alto,Q1_baixo,Q1_baixo,Q4_alto,0,
2023,1,Q4_alto,Q1_baixo,Q2,Q1_baixo,0,
2023,1,Q4_alto,Q1_baixo,Q2,Q2,0,
2023,1,Q4_alto,Q1_baixo,Q2,Q3,0,
2023,1,Q4_alto,Q1_baixo,Q2,Q4_alto,0,
2023,1,Q4_alto,Q1_baixo,Q3,Q1_baixo,0,
2023,1,Q4_alto,Q1_baixo,Q3,Q2,0,
2023,1,Q4_alto,Q1_baixo,Q3,Q3,0,
2023,1,Q4_alto,Q1_baixo,Q3,Q4_alto,0,
2023,1,Q4_alto,Q1_baixo,Q4_alto,Q1_baixo,0,
2023,1,Q4_alto,Q1_baixo,Q4_alto,Q2,0,
