ano_base,Fase_num,Turma,n,inde_medio,ida_media,ieg_medio,ips_medio,ipp_medio,ian_medio
2022,3,G,15,5.846733333333334,3.8333333333333335,6.239999999999999,6.073333333333333,,6.166666666666667
2022,3,L,11,5.295727272727273,2.8454545454545452,5.118181818181818,6.609090909090909,,5.0
2022,4,L,15,7.242933333333334,6.153333333333333,8.306666666666667,6.333333333333333,,6.833333333333333
2022,4,H,7,7.153714285714286,6.385714285714286,7.3428571428571425,7.771428571428571,,6.428571428571429
2022,4,F,15,7.009200000000001,5.913333333333333,7.633333333333334,5.906666666666666,,6.666666666666667
2022,4,P,9,6.975111111111111,5.877777777777778,8.066666666666666,6.7444444444444445,,5.833333333333333
2022,4,A,16,6.9279375,6.25,7.59375,6.84375,,6.09375
2022,4,B,14,6.78,5.814285714285715,6.971428571428571,6.75,,6.785714285714286
2022,5,L,10,7.7734,7.06,8.129999999999999,7.25,,7.5
2022,5,K,10,7.2256,6.34,8.34,6.12,,6.5
2022,5,B,16,7.1989374999999995,6.89375,7.99375,7.30625,,6.09375
2022,5,A,11,6.481454545454545,5.027272727272727,7.454545454545454,6.645454545454545,,6.136363636363637
2022,5,F,5,6.1506,5.1,5.7,6.12,,6.0
2022,5,C,8,5.661875,3.4125,4.6875,7.1875,,5.0
2022,6,A,18,7.201166666666667,6.694444444444445,7.027777777777778,7.961111111111112,,5.833333333333333
2022,7,D,8,7.265875,6.4,9.25,6.8875,,5.0
2022,7,A,13,6.246846153846154,4.546153846153846,6.007692307692308,6.300000000000001,,6.923076923076923
2023,1,1F,11,7.741993939363636,6.8,8.945454545454545,6.724545454545455,8.636363636363637,5.909090909090909
2023,1,1K,15,7.6723133334,7.193333333333333,8.653333333333334,6.685999999999999,8.291666666666666,6.0
2023,1,1M,11,7.6256272727272725,7.354545454545455,8.700000000000001,3.2563636363636363,8.465909090909092,5.909090909090909
2023,1,1P,13,7.612415384538461,7.123076923076923,8.7,6.845384615384615,7.660256410230769,5.769230769230769
2023,1,1N,12,7.59761597225,6.825,9.025,6.9991666666666665,8.190104166666666,5.833333333333333
2023,1,1B,13,7.566275641,6.7153846153846155,9.392307692307693,6.943076923076922,7.427884615384615,6.346153846153846
2023,1,1C,7,7.515476190428571,6.942857142857143,8.485714285714286,6.448571428571428,7.380952381,5.714285714285714
2023,1,1D,5,7.4946599998,6.779999999999999,8.9,7.519999999999999,7.625,6.0
2023,1,1H,13,7.474743589769231,7.0307692307692315,8.723076923076924,5.50076923076923,8.076923077,6.538461538461538
2023,1,1L,15,7.4248577778,6.626666666666667,8.653333333333334,6.852666666666666,7.416666666666667,5.666666666666667
2023,1,1R,14,7.400657142857143,6.792857142857143,8.685714285714285,6.849285714285714,7.5595238093571435,6.428571428571429
2023,1,1G,15,7.3592133334000005,6.5,8.94,5.6033333333333335,7.6388888887999995,6.666666666666667
2023,1,1A,15,7.269133333266667,6.34,8.846666666666666,5.27,7.166666666666667,7.333333333333333
2023,1,1J,14,6.780902381,6.607142857142857,7.8,5.018571428571428,7.395833333357143,5.714285714285714
2023,2,2R,11,7.941127272727273,7.281818181818181,8.990909090909092,6.552727272727273,8.446969697,8.181818181818182
2023,2,2C,15,7.6510133332,7.453333333333333,9.54,2.52,8.833333333199999,7.0
2023,2,2P,13,7.564125640923077,7.8307692307692305,8.753846153846153,5.6923076923076925,8.814102564153846,5.769230769230769
2023,2,2A,17,7.506164705882353,6.870588235294117,9.041176470588235,3.103529411764706,8.198529411764707,7.9411764705882355
2023,2,2N,10,7.3978999999,6.69,8.629999999999999,5.644,8.0833333335,7.5
2023,2,2I,8,7.39606666675,7.25,8.725,4.08,8.437499999875,5.9375
2023,2,2K,15,7.3657977778,6.3533333333333335,8.853333333333333,5.018666666666666,7.6944444444,7.333333333333333
2023,2,2F,12,7.360061111,6.533333333333334,8.608333333333333,4.173333333333333,8.402777777833334,7.5
2023,2,2D,14,7.353111904642858,7.371428571428572,8.842857142857143,3.7600000000000002,8.288690476071428,6.785714285714286
2023,2,2U,15,7.336615555600001,6.113333333333333,8.346666666666668,6.602666666666666,7.569444444466667,7.0
2023,2,2B,15,7.314484444466667,6.493333333333334,9.113333333333333,2.8506666666666667,8.4027777778,7.0
2023,2,2L,13,7.274766666615384,6.4,8.784615384615385,5.786923076923076,7.516025640923076,6.923076923076923
2023,2,2G,14,7.246107142857142,6.521428571428571,9.228571428571428,3.051428571428571,8.392857142857142,6.071428571428571
2023,2,2H,13,7.039084615307692,6.176923076923076,8.776923076923076,4.046153846153846,8.221153846153847,5.576923076923077
2023,2,2M,14,6.906647619142857,6.028571428571429,7.9071428571428575,6.090714285714285,7.127976190428571,6.428571428571429
2023,3,3A,6,7.585688889,6.416666666666667,8.166666666666666,6.68,8.020833333333334,6.666666666666667
2023,3,3D,10,7.567994166699999,6.92,9.309999999999999,4.52,7.609375,8.0
2023,3,3L,16,7.4722546875625,6.41875,9.1625,4.941875,7.841796875,8.4375
2023,3,3B,13,7.093635256461538,6.153846153846154,8.323076923076924,5.783076923076923,7.800480769230769,8.076923076923077
2023,3,3N,12,6.972663888833334,6.033333333333334,8.4,4.806666666666667,7.552083333333333,7.916666666666667
2023,3,3C,8,6.96136458325,5.9375,9.0625,3.14,7.4609375,7.1875
2023,3,3M,10,6.944411666700001,5.41,8.620000000000001,4.016,7.65625,6.75
2023,3,3I,6,6.7358208333333325,4.366666666666666,8.166666666666666,2.52,7.317708333333333,9.166666666666666
2023,3,3G,13,6.690198076923077,5.1,8.253846153846153,5.3538461538461535,7.34375,7.6923076923076925
2023,3,3P,11,6.6717265150000005,5.7,7.9818181818181815,5.465454545454545,7.173295454545454,6.363636363636363
2023,3,3F,12,6.5971791665833335,5.508333333333333,8.174999999999999,4.229166666666667,7.213541666666667,7.5
2023,3,3K,15,6.5208072222,4.86,7.6933333333333325,3.892,7.40625,7.0
2023,4,4A,15,7.7514005556,6.8933333333333335,9.253333333333334,2.52,8.114583333333334,9.666666666666666
2023,4,4M,15,7.4722905554666665,5.986666666666666,9.120000000000001,5.35,8.177083333333334,8.333333333333334
2023,4,4B,9,7.303895370444445,6.566666666666666,7.7666666666666675,3.9066666666666663,8.350694444444445,6.944444444444445
2023,4,4F,11,7.082961363818182,6.336363636363637,8.736363636363636,3.820909090909091,7.8835227272727275,6.818181818181818
2023,4,4L,11,6.6589803030909085,5.154545454545455,7.7,4.327272727272727,7.471590909090909,8.181818181818182
2023,4,4C,12,6.5889979167499995,5.608333333333333,7.566666666666666,3.0366666666666666,7.330729166666667,6.25
2023,4,4N,9,6.560624073888889,5.6,7.7444444444444445,3.071111111111111,7.534722222222222,6.388888888888889
2023,4,4G,6,6.496255555333334,5.616666666666667,7.633333333333333,4.488333333333333,7.395833333333333,6.666666666666667
2023,5,5L,15,7.061612222266667,6.133333333333334,8.860000000000001,4.719333333333334,7.770833333333333,6.166666666666667
2023,5,5C,8,7.048728124875,6.35,8.625,5.32,7.59765625,6.875
2023,5,5A,14,6.989246428428571,6.0,8.37142857142857,4.690714285714286,7.566964285714286,6.607142857142857
2023,5,5M,14,6.979913690428572,5.992857142857143,8.735714285714286,3.4057142857142857,7.823660714285714,7.5
2023,5,5B,7,6.805841666571429,6.114285714285714,8.128571428571428,4.385714285714285,7.254464285714286,7.142857142857143
2023,5,5F,7,5.835823809428571,4.328571428571428,7.314285714285715,3.588571428571428,6.875,6.071428571428571
2023,6,6A,21,7.366903174571428,7.080952380952381,8.504761904761905,5.931904761904762,7.886904761904762,6.666666666666667
2023,6,6L,12,7.0262159723333335,6.333333333333333,8.491666666666667,5.5808333333333335,7.669270833333333,5.833333333333333
2023,7,7A,10,7.829890000099999,7.81,9.17,6.011,7.8375,8.0
2023,,ALFA K - G0/G1,12,8.387391666666668,7.891666666666667,9.1,7.103333333333333,8.072916666666666,8.75
2023,,ALFA C - G0/G1,10,8.17199,8.08,9.42,6.017999999999999,6.8125,9.5
2023,,ALFA D - G2/G3,12,8.096666666666666,8.083333333333334,9.108333333333333,7.204999999999999,7.1875,7.5
2023,,ALFA F - G0/G1,11,8.091728787818182,8.618181818181817,9.281818181818181,7.007272727272727,7.926136363636363,7.7272727272727275
2023,,ALFA O - G2/G3,13,8.056996153846153,8.007692307692308,9.353846153846153,6.798461538461538,6.802884615384615,6.153846153846154
2023,,ALFA V - G0/G1,9,7.965733333333334,8.022222222222222,8.577777777777778,7.033333333333333,7.083333333333333,8.88888888888889
2023,,ALFA S - G2/G3,12,7.8597,7.641666666666667,9.308333333333334,4.1866666666666665,6.25,8.75
2023,,ALFA Y - G0/G1,6,7.854875,7.75,9.466666666666667,3.873333333333333,7.135416666666667,10.0
2023,,ALFA L - G2/G3,11,7.834454545454546,6.972727272727273,9.236363636363636,6.156363636363636,6.931818181818182,6.363636363636363
2023,,ALFA A - G0/G1,10,7.783595,7.42,8.790000000000001,7.8870000000000005,7.21875,9.0
2023,,ALFA R - G0/G1,9,7.733322222222221,7.311111111111111,8.544444444444444,5.02,6.597222222222222,9.444444444444445
2023,,ALFA Q - G2/G3,12,7.658120833333332,6.8999999999999995,9.133333333333333,7.3116666666666665,6.588541666666667,5.833333333333333
2023,,ALFA M - G0/G1,10,7.5378,6.81,8.309999999999999,6.519999999999999,6.5,8.5
2023,,ALFA T - G2/G3,11,7.466827272727272,7.036363636363635,8.718181818181819,4.505454545454546,6.420454545454546,6.363636363636363
2023,,ALFA N - G2/G3,10,7.41392,8.05,8.89,3.4549999999999996,7.25,6.5
2023,,ALFA H - G0/G1,9,7.384544444444444,7.077777777777778,8.055555555555555,5.783333333333333,6.180555555555555,8.333333333333334
2023,,ALFA E - G2/G3,12,7.359204166666667,7.45,8.933333333333334,4.029166666666667,6.484375,6.458333333333333
2023,,ALFA U - G2/G3,9,7.349355555555555,7.0888888888888895,8.955555555555556,4.3933333333333335,6.527777777777778,6.666666666666667
2023,,ALFA J - G2/G3,12,7.29655,6.641666666666667,9.058333333333334,4.915,6.25,6.25
2023,,ALFA I - G2/G3,8,7.2775875,6.55,8.6625,5.8,6.328125,8.125
2023,,ALFA G - G2/G3,12,7.170154166666666,6.966666666666666,8.458333333333334,5.642499999999999,6.588541666666667,5.416666666666667
