RA,ra_num,ano_base,Fase_num,IPP,INDE_final,alerta_precoce
RA-1330,1330,2024,,8.4375,8.944616666700002,1
RA-1331,1331,2024,,8.4375,7.8522833333,1
RA-944,944,2024,,8.75,7.8262,1
RA-1332,1332,2024,,9.375,8.1040529412,1
RA-1333,1333,2024,,9.375,8.213199999999999,1
RA-934,934,2024,,9.375,8.338700000000001,1
RA-1334,1334,2024,,9.375,8.350200000000001,1
RA-941,941,2024,,8.125,7.746700000000001,1
RA-756,756,2024,,8.125,7.361700000000001,1
RA-1335,1335,2024,,9.375,8.3217,1
RA-938,938,2024,,8.125,8.0056026915,1
RA-1344,1344,2024,,8.75,9.3612,1
RA-749,749,2024,,8.4375,8.3373184211,1
RA-929,929,2024,,8.125,7.7244368421,1
RA-1348,1348,2024,,8.75,7.9604662539,1
RA-935,935,2024,,8.75,8.3422,1
RA-1349,1349,2024,,8.4375,7.855727777800001,1
RA-937,937,2024,,8.75,8.3792,1
RA-1350,1350,2024,,8.4375,8.335450000000002,1
RA-1351,1351,2024,,8.4375,8.1861038462,1
RA-1352,1352,2024,,8.4375,8.289950000000001,1
RA-1354,1354,2024,,8.125,7.353427272700001,1
RA-979,979,2024,,8.125,8.0352454545,1
RA-1355,1355,2024,,8.125,7.202245454500001,1
RA-972,972,2024,,8.75,7.537472727300001,1
RA-1356,1356,2024,,8.125,7.8695888889,1
RA-966,966,2024,,8.125,7.9943363636,1
RA-1357,1357,2024,,8.125,7.1807,1
RA-969,969,2024,,8.125,7.453427272700001,1
RA-1381,1381,2024,,8.75,9.038200000000002,1
RA-990,990,2024,1,8.4375,7.812283333400001,1
RA-1394,1394,2024,1,8.125,7.503255555500002,1
RA-1018,1018,2024,1,8.4375,7.7054045454,1
RA-1396,1396,2024,1,8.125,7.8477,1
RA-1025,1025,2024,1,8.4375,7.897071212,1
RA-1020,1020,2024,1,8.4375,8.9544954545,1
RA-1021,1021,2024,1,8.4375,8.0985863636,1
RA-1397,1397,2024,1,8.125,7.8280333334000005,1
RA-1398,1398,2024,1,8.125,7.989700527000001,1
RA-899,899,2024,1,8.125,8.425024769300002,1
RA-893,893,2024,1,8.125,8.8910333334,1
RA-1024,1024,2024,1,8.4375,8.6516166666,1
RA-900,900,2024,1,8.125,8.802003030200002,1
