RA,ra_num,ano_base,Fase_num,IPP,INDE_final,alerta_precoce
RA-244,244,2024,5,8.125,8.7225,1
RA-274,274,2024,5,8.125,8.651029629666667,1
RA-157,157,2024,5,8.125,8.950566666733334,1
RA-321,321,2024,5,8.125,8.125807932933334,1
RA-278,278,2024,5,8.125,8.907314492800001,1
RA-279,279,2024,5,8.333333333,9.113133333366667,1
RA-1621,1621,2024,5,8.333333333,8.107033333366667,1
RA-280,280,2024,5,8.333333333,8.822714492700001,1
RA-1201,1201,2024,5,8.333333333,8.376195238033333,1
RA-1622,1622,2024,5,8.333333333,8.429066666633334,1
RA-132,132,2024,6,8.59375,8.4746321428,1
RA-1626,1626,2024,6,8.28125,8.541085606066668,1
RA-167,167,2024,6,8.375,8.033470175466666,1
RA-1203,1203,2024,6,8.375,8.9495245614,1
RA-94,94,2024,6,8.375,8.637033333333335,1
RA-1630,1630,2024,6,8.25,8.583133333333334,1
RA-1631,1631,2024,6,8.5,8.186433333333333,1
RA-80,80,2024,7,8.75,8.131659175733333,1
RA-40,40,2024,7,8.125,7.098051462066667,1
RA-1214,1214,2024,7,8.28125,8.5902971362,1
RA-45,45,2024,7,8.75,8.743476190400001,1
RA-56,56,2024,7,8.4375,9.077020175400001,1
RA-57,57,2024,7,8.59375,7.4193804301999995,1
RA-58,58,2024,7,9.0625,8.7713289474,1
RA-78,78,2024,7,8.4375,8.1780308688,1
RA-87,87,2024,7,9.375,9.437924561333332,1
RA-64,64,2024,7,8.4375,8.743607059266667,1
RA-48,48,2024,7,8.59375,8.402390371800001,1
